Planner,Path Length,Path Quality,numVertices,Planning Time,under_five,Start Position,End Position
RRT,5,3.57306,6,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,3.57306,9,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,7,3.57306,11,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,8,5.73281,15,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,4.94642,14,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,12,3.84263,24,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,3.57306,11,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,3.57306,11,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.57306,8,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,3,2.88735,8,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,4.22672,10,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.05167,8,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.05167,8,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,8,3.57306,34,1,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.57306,6,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,3.57306,11,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.57306,4,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,4,3.57306,4,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,3,2.88735,4,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRT,6,3.57306,14,0,Yes,0.953469;1.89298;0.299746,1.276;1.79208;3.87281
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.05387,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,2.71012,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.00194,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTConnect,5,3.57306,5,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,9,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,3,2.88735,8,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,3,2.88735,8,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,9,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,12,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,12,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,6,3.57306,8,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,3,2.88735,6,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,17,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,11,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,11,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,3,2.88735,8,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,9,4.57637,15,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,10,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,4,3.57306,16,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,7,3.57306,9,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,7,3.57306,9,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,12,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,11,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,11,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,12,5.16592,1002,2502,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,4,3.37717,1002,2514,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,13,5.77041,1002,2572,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,10,3.54181,1002,3016,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,14,4.26444,1002,2731,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,8,3.03215,1002,2607,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,7,3.06591,1002,2625,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,10,4.06824,1002,2544,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,4,2.71012,1002,2569,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,8,3.46706,1002,2619,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,13,3.91353,1002,2630,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,9,3.40038,1002,2571,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,8,4.10434,1002,2543,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,13,5.49804,1002,2537,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,8,4.09472,1002,2728,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,13,4.22812,1002,2620,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,13,3.03558,1002,2645,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,11,3.01918,1002,2781,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,11,3.86775,1002,2524,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
PRM,9,4.50884,1002,2712,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,7,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
RRTStar,5,3.57306,11,0,Yes,"0.953469;1.89298;0.299746","1.276;1.79208;3.87281"
